imdbID,Title,Year,Genre,Director,Writer,Plot,Actors,Language,Country,Awards,IMDB rating,No_of_Rating
1,Darbar,2020,Action,A.R. Murugadoss,"A.R. Murugadoss (Dialogue), A.R. Murugadoss (Screenplay), A.R. Murugadoss (Story)",A police officer on a chase to hunt down a dreaded gangster for fulfilling his own secret agenda.,"Rajinikanth, Nayanthara, Sunil Shetty, Yogi Babu",Tamil,India,N/A,6.3,"3,365"
2,Pattas,2020,Action,R.S. Durai Senthilkumar,R.S. Durai Senthilkumar,"Sakthi is a petty thief in a Chennai slum, who learns the Adimurai, the ancient and oldest form of martial arts, to fulfil his father Velappan's destiny. Meanwhile, an evil man and his son ...","Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra",Tamil,India,N/A,5.8,693
3,Psycho,2020,"Crime, Thriller",Myshkin,Myshkin,"Based on the Buddhist tale of Angulimala, a dreaded serial killer, Psycho tells the story of a blind man who gets involved in a murder mystery.","Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menon, Ram",Tamil,India,N/A,6.8,793
4,Kannum Kannum Kollaiyadithaal,2020,"Drama, Romance, Thriller",Desingh Periyasamy,Desingh Periyasamy,A carefree youngster`s life takes an interesting turn after he meets the girl of his dreams.,"Dulquer Salmaan, Gautham Vasudev Menon, Ritu Varma, Rakshan","Tamil, Telugu",India,N/A,7.8,"1,541"
5,Oh My Kadavule,2020,Comedy,Ashwath Marimuthu,N/A,When you think marrying your best friend means a 'happily ever-after' but it turns out to be just the reverse,"Ashok Selvan, Ritika Singh, Vani Bhojan, Vijay Sethupathi",Tamil,India,N/A,9.1,86
6,Naan Sirithaal,2020,"Comedy, Drama",Raana,N/A,"Gandhi is an IT guy who suffers from Pseudobulbar, and he uncontrollably laughs during stressful moments. He is taken to a Shiva temple and tied with a holy ornament, which is very strong, but it would bring a threat to him if separated.","Hiphop Tamizha Adhi, Iswarya Menon, K.S. Ravikumar, Badava Gopi",Tamil,India,N/A,6.5,55
7,Mafia: Chapter 1,2020,"Action, Crime",Karthick Naren,Karthick Naren,"Aryan is a narcotics officer entitled with making the city a drug free zone. One day, people very close to Aryan get murdered one by one. He feels that this might be the work of the mastermind who is behind the entire distribution network.","Arun Vijay, Prasanna, Priya Bhavani Shankar, Thalaivasal Vijay",Tamil,India,N/A,6.1,716
8,Draupathi,2020,Drama,"Mohan G., Stunt Mahesh",ManikandanPriya (lyricist),"Being a village social activist draupathy a strong woman, trying to explore the illegal activity of the fake marriages against a team of lawyers who do so many wrong activities along with her husband and how they solve this issue","Karunas, Nishanth, Richard Rishi, Sheela",Tamil,India,N/A,5.8,44
9,Vaanam Kottattum,2020,Drama,Dhana Sekaran,"Mani Ratnam, Dhana Sekaran","A simple father's life whose one mistake breaks him away from his dear family. Even after many years, when he finally meets his family, the same mistake haunts him back in a different form which unfolds into an emotionally gripping climax.","Sarath Kumar, Vikram Prabhu, Radhika Sarathkumar, Aishwarya Rajesh",Tamil,India,N/A,6.4,119
10,Dagaalty,2020,"Action, Comedy, Drama",Vijay Anand,Vijay Anand,A conman tries to save an innocent girl from the clutches of a womanizer after realizing that he had fallen in love with her.,"Santhanam, Rittika Sen, Yogi Babu, Radha Ravi",Tamil,India,N/A,5.1,29
11,Day knight,2020,Thriller,N.K.kandi,N/A,A train robbery happened between Salem and Chennai and two years later the money travels from India to Australia.,Aadarsh Pullanikat,Tamil,India,N/A,5,5
12,Taana,2020,"Action, Comedy, Horror",Yuvaraj Subramani,Yuvaraj Subramani,This is about a life struggle of a man who's trying to become a policeman as his family members wish and forced him to become police and save their village.,"Yogi Babu, Nandita Shwetha, Vaibhav Reddy",N/A,India,N/A,5.1,19
13,Naadodigal 2,2020,Drama,Samuthirakani,N/A,A set of befriends jointly saving a lovers against the cast antagonists of a bad group after facing so many dramas arranged by the girls family,"M. Sasikumar, Anjali, Athulya Ravi, Bharani",Tamil,India,N/A,6.1,34
